# Swedish Computer Shops Database
# Generated: 2026-04-10
# License: CC-BY-4.0
# Attribution: Contains data from Bolagsverket and SCB, licensed under CC-BY-4.0
#   as EU High Value Datasets.
# Sources:
#   SCB bulk file: https://vardefulla-datamangder.bolagsverket.se/scb/scb_bulkfil.zip
#   Bolagsverket bulk file: https://vardefulla-datamangder.bolagsverket.se/bolagsverket/bolagsverket_bulkfil.zip
#   SCB Branschnyckeltal API (turnover estimates)
# Note: Sole traders excluded for privacy.
#   Turnover estimates are industry medians by SNI code, not company-specific.
#   Only active companies included. Headquarters and holding companies excluded.
org_number,company_name,legal_form,legal_form_description,registration_date,status,address,co_address,postal_code,city,municipality,county,primary_sni,primary_sni_description,all_sni_codes,all_sni_descriptions,business_description,match_method,match_confidence,b2c_b2b,shop_category,chain_group,chain_type,parent_company,ultimate_owner,classification_confidence,classification_method,matched_keyword,estimated_turnover_sek,turnover_source,turnover_year,data_source,extraction_date,data_license
169698034171,AT Traders Handelsbolag,HB/KB,Handelsbolag / Kommanditbolag,20250926.0,active,RAMELS VÄG 09  LGH 1803,MOHAMMAD TANWIR,21368,MALMÖ,,,47402,Retail: software,"47402,53202",Retail: software; 53202,,sni_code,high,B2C,Software,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165595376467,ATune AB,AB,Aktiebolag,20250711.0,active,SKATTEGÅRDEN 102  LGH 1101,,58648,LINKÖPING,,,62201,,"62201,46501,95311,46720,47401",62201; Wholesale: computers & peripherals; 95311; 46720; Retail: computers & peripherals,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566033253,AUDIO & VIDEOTEKNIK VÄST AB,AB,Aktiebolag,20010102.0,active,NORRA LÅNGEBERGSGATAN 4,,42132,VÄSTRA FRÖLUNDA,,,47403,Retail: consumer electronics,"47403,95210",Retail: consumer electronics; 95210,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566492053,AUDIO VIDEO I HOFORS AB,AB,Aktiebolag,20031023.0,active,CENTRALGATAN 19,,81330,HOFORS,,,47403,Retail: consumer electronics,"47403,47541",Retail: consumer electronics; 47541,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165591551543,AUPM AB,AB,Aktiebolag,20180412.0,active,LJUNGADALSGATAN 17,,35246,VÄXJÖ,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566608526,AUTEMA ELEKTRONIK AB,AB,Aktiebolag,20040422.0,active,ROSLÖVSVÄGEN 7,LEON WALLER,24747,FLYINGE,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165595744953,AV Aros AB,AB,Aktiebolag,20260306.0,active,AUGUST PALMS VÄG 10  LGH 1701,MIKA SURONEN,72464,VÄSTERÅS,,,43210,,"43210,47403",43210; Retail: consumer electronics,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165568937436,AV Connect i Göteborg AB,AB,Aktiebolag,20120524.0,active,GULLRINGEVÄGEN 13 C,MORGAN GILLBERG,42370,SÄVE,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165562501477,AV-TEKNIK I VÄSTERÅS AKTIEBOLAG,AB,Aktiebolag,19841021.0,active,SKRIDSKOGATAN 4,,72240,VÄSTERÅS,,,47403,Retail: consumer electronics,"47403,26400",Retail: consumer electronics; 26400,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165020520234,AVANT IT AS,AB,Aktiebolag,19980226.0,active,ALF BJERCKES VEI 10 NO-0582 OSLO,,0,UTLANDET,,,95101,Repair: computers,95101,Repair: computers,,sni_name_confirmed,medium,Service,Computer Repair/Service,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
